;latitud;longitud;profundidad;magnitud;err_prof;err_h
226;-31.732;-70.285;122.7;3;3.9;2.4
227;-33.645;-70.725;77.6;2.8;0.9;0.4
228;-33.845;-71.84;25.9;3.5;4.8;1.25
229;-31.799;-69.989;149.8;3.5;4;2.75
230;-32.744;-71.708;14.7;3.3;1.9;1.65
231;-31.725;-70.553;105;3.5;3.5;1.7
232;-33.16;-72.005;5.9;3.5;3.4;2
233;-31.33;-70.083;120.3;0;9.8;3.55
234;-33.9;-72.22;14.6;0;32.6;13.3
235;-32.231;-71.905;21.7;3.5;2.3;1.3
236;-31.889;-70.27;129;2.9;2.9;1.9
237;-33.678;-70.986;60.2;3.3;1.5;0.4
238;-33.491;-71.294;55.8;2.3;2.3;0.75
239;-33.22;-70.267;8.5;0;0.5;0.55
240;-31.553;-70.1;153.6;3.4;3.4;2.2
241;-33.836;-71.226;59.4;3.2;1;0.35
242;-32.721;-71.752;15.1;4.2;5.1;2.1
243;-35.611;-71.828;129.7;3.3;8.2;3.4
244;-34.044;-72.048;45.7;3.6;0.8;0.9
245;-37.31;-75.447;10;4.3;75.9;45.15
246;-32.809;-70.18;105;0;0.9;0.55
247;-32.033;-71.526;25.7;4;1;0.7
248;-33.604;-71.382;41.2;0;1.4;0.5
249;-32.598;-71.769;18.8;4.3;12.2;0.7
250;-34.222;-70.574;111.6;0;1.3;1.25
251;-32.451;-70.368;99.8;2.9;1.7;1.3
252;-34.514;-72.074;30;3.8;2.3;1.45
253;-33.235;-72.236;28.5;4.1;6.8;1.2
254;-33.024;-69.598;161.9;2.6;2.3;1.55
255;-32.47;-71.798;15.4;3.6;7.9;3.2
256;-32.488;-71.828;25.7;3.8;1.6;0.75
257;-33.107;-71.268;53.8;4;1.6;0.6
258;-33.655;-70.53;102.1;4;1;0.65
259;-33.866;-70.182;7;3.6;0.9;0.8
260;-34.44;-70.596;109.3;2.9;1.8;1.15
261;-31.958;-70.742;102.3;4.6;2.5;1.55
262;-32.424;-71.622;43.8;4;1;1.05
263;-31.835;-70.725;107.5;3.2;2.8;1.65
264;-34.611;-72.096;18.4;0;43.4;1.4
265;-34.155;-71.201;64.4;3.6;0.8;0.3
266;-32.157;-71.212;43.5;4;1.1;1.25
267;-33.324;-71.15;56.9;3.5;1.4;0.45
